8.669,0.192
0.631,0.337
0.838,0.53
1.169,0.651
1.506,1.006
1.55,0.944
1.916,0.989
2.434,1.362
2.505,1.378
2.728,2.124
3.43,2.027
3.204,1.615
3.476,1.925
3.759,2.07
5.461,2.658
4.473,2.36
4.767,2.503
5.041,2.38
5.2,3.001
5.496,2.896
8.189,3.23
6.842,3.456
6.599,3.829
6.583,3.678
6.764,3.46
7.038,3.953
7.358,3.559
7.725,3.849
7.881,3.675
8.152,4.448
8.413,5.562
11.538,5.116
8.976,4.682
9.261,5.307
9.52,5.331
9.798,4.746
10.073,5.454
10.932,5.316
10.63,5.186
10.901,6.075
11.539,5.543
13.654,5.97
12.109,6.644
12.251,6.419
12.328,6.611
12.543,6.136
13.457,6.298
13.199,6.827
13.432,6.457
13.728,6.966
14.105,7.072
14.316,6.888
14.558,7.352
14.805,9.416
15.132,8.827
15.306,8.048
15.613,7.647
17.271,7.912
16.152,7.989
16.383,7.83
16.703,9.054
16.978,9.024
17.258,8.168
18.656,9.521
17.82,9.934
18.805,9.02
18.42,9.665
18.67,10.198
18.902,9.639
20.134,10.189
19.661,9.068
19.811,11.236
20.09,10.669
20.314,12.013
22.179,11.003
20.983,10.151
21.146,9.779
21.378,11.406
21.692,11.392
21.973,12.943
22.997,11.018
22.852,11.855
22.792,12.698
23.301,11.271
23.938,12.259
23.738,11.15
23.99,12.138
24.228,10.956
25.239,12.205
24.893,13.562
25.161,12.418
25.408,12.669
25.744,13.723
26.07,12.584
26.337,13.399
26.622,13.552
27.042,13.573
27.239,13.613
27.506,13.569
27.783,13.934
